geo,country,year,size_emp,nace_r2,target_workflow_automation,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
PT,Portugal,2021,GE10,J61,13.805,14.248214285714287,39.07833333333333,,10.28,36.91133333333333,,32.41166666666666,5
PT,Portugal,2021,GE10,L,1.09,19.518571428571427,9.983333333333333,,2.45,22.873333333333335,,4.796666666666667,3
PT,Portugal,2021,GE10,L68,1.09,19.518571428571427,9.983333333333333,,2.45,22.873333333333335,,4.796666666666667,3
PT,Portugal,2021,GE10,L_M,4.02,13.785714285714288,17.673333333333336,,2.2,16.966666666666665,,22.30333333333333,3
PT,Portugal,2021,GE10,M,4.595000000000001,13.700357142857142,19.16,,10.299999999999999,20.499666666666663,,23.900000000000002,3
PT,Portugal,2021,GE10,M69-M71,4.15,15.504285714285714,,,7.074999999999999,20.712,,30.14,3
PT,Portugal,2021,GE10,M72,6.17,6.931875000000001,,,6.17,13.43,,18.353333333333335,3
PT,Portugal,2021,GE10,M73-M75,5.84,11.544285714285712,,,3.32,17.711333333333336,,9.456666666666667,3
PT,Portugal,2021,GE10,N,1.795,15.047142857142859,47.587,,33.26,32.33,,27.101666666666667,5
PT,Portugal,2021,GE10,N77-N82_X_N79,1.84,14.656071428571428,45.31666666666667,,31.436666666666667,29.633,,27.028333333333336,5
PT,Portugal,2021,GE10,N79,1.455,1.4112500000000001,,,2.99,,,12.389999999999999,3
PT,Portugal,2021,GE10,S951,7.58,15.620000000000001,46.946666666666665,,38.38333333333333,34.537333333333336,,24.853333333333328,5
PT,Portugal,2023,GE10,C,2.665,14.893571428571429,34.39233333333333,41.65611111111111,20.60333333333333,24.907333333333334,,25.05666666666667,3
PT,Portugal,2023,GE10,C-E,2.75,14.80357142857143,34.75933333333333,42.242222222222225,21.066666666666666,24.854333333333336,,25.171666666666663,3
PT,Portugal,2023,GE10,C-F,1.82,14.351428571428572,33.325,38.99555555555556,18.62333333333333,22.595333333333333,,23.976666666666667,3
PT,Portugal,2023,GE10,C10-C12,2.64,10.200000000000001,36.38733333333333,44.55333333333334,25.603333333333335,33.20399999999999,,29.42,5
PT,Portugal,2023,GE10,C10-C18,1.2349999999999999,13.4475,29.904000000000003,36.22611111111111,17.613333333333333,25.893666666666668,,24.785,3
PT,Portugal,2023,GE10,C10-S951_X_K,3.26,15.086428571428572,37.75933333333334,40.85611111111111,25.34,30.468666666666667,,26.486666666666668,3
PT,Portugal,2023,GE10,C13-C15,0.22,14.367142857142856,23.974666666666664,32.934444444444445,13.350000000000001,23.979666666666667,,19.98333333333333,3
PT,Portugal,2023,GE10,C16-C18,1.995,16.843214285714286,35.30366666666667,31.103888888888893,4.645,23.214,,33.61,3
PT,Portugal,2023,GE10,C19,11.11,0.0,67.77933333333333,58.76666666666667,40.74,38.14666666666667,,59.260000000000005,2
PT,Portugal,2023,GE10,C19-C23,6.825,16.0425,45.34166666666667,49.98888888888889,28.03333333333333,26.223000000000003,,30.871666666666666,5
PT,Portugal,2023,GE10,C20,4.6850000000000005,19.544642857142858,48.788,54.19,39.12,29.49066666666667,,31.71333333333333,5
PT,Portugal,2023,GE10,C21,11.69,8.845714285714285,66.936,60.02555555555555,52.90333333333334,31.365999999999996,,47.34,2
PT,Portugal,2023,GE10,C22_C23,6.9399999999999995,15.832499999999998,43.22233333333333,48.54833333333334,24.34,25.611333333333334,,29.41333333333333,5
PT,Portugal,2023,GE10,C24_C25,0.405,17.83357142857143,35.52066666666667,46.47333333333333,4.58,18.412,,22.126666666666665,3
PT,Portugal,2023,GE10,C26,13.525,10.7325,53.396,52.92722222222222,39.23666666666667,28.429000000000002,,40.18666666666667,2
PT,Portugal,2023,GE10,C26-C33,5.59,14.905357142857143,37.382000000000005,45.05111111111111,25.276666666666667,25.648333333333333,,23.62333333333333,5
